ModelName,$S_{x}$,$S_{y}$,$S_{z}$,"$S_{x,z}$","$S_{y,z}$","$S_{x,y,z}$","$S_{x,y,z}HF_{z}$","$S_{x,y,z}HF_{y}$","$S_{x,y,z}HF_{x}$","$S_{x,y,z}HF_{x,y}$","$S_{x,y,z}HF_{x,z}$","$S_{x,y,z}HF_{x,y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xy}$","$S_{x,y,z}HF_{x,y,z}T_{yz}$","$S_{x,y,z}HF_{x,y,z}T_{xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$","$S_{x,y,z}HF_{y,z}$","$S_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$S_{x,y}$"
"$S_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,3.692305177784859e+27,,,,,77228207189590.23,,,1.065856158412636e-11,,,2.6760311805183488e-17,97553464044512.12,,,,,
$S_{x}$,,9.999999999999997e-161,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{y}$,1.0000000000000003e+160,,9.999999999999997e-161,,,,,,,,,,,,,,,,,,
$S_{z}$,1.0000000000000003e+160,1.0000000000000003e+160,,1.4479797353353582e-78,,,,,,,,,,,,,,,,,
"$S_{x,z}$",,,6.906173999516613e+77,,2.6476069388933136e+19,,,,1.7624181603997003e-46,,,5.754241021429589e-127,4.947603821533823e-59,,,,,1.1178601381313802e-64,,,
"$S_{y,z}$",,,,3.776995691127759e-20,,,,,,,,,,,,,,,,,
"$S_{x,y,z}$",,,,,,,,,8.158097687570415e-64,,,,,,,,,,,,
"$S_{x,y,z}HF_{y}$",,,,,,,5.781726713347428e+30,,9.175895320889763e-19,,,,,,,,,,,,
"$S_{x,y,z}HF_{x}$",,,,5.674022331755871e+45,,1.2257759569655419e+63,5.152653266873201e+44,1.0898119093876416e+18,,,,2.7766918955165435e-52,1.13088196862444e-21,,,,,0.0002886786323524195,,,
"$S_{x,y,z}HF_{z}$",,,,,,,,1.7295871105278042e-31,1.9407477045449107e-45,,,,,,,,,,,,
"$S_{x,y,z}HF_{x,z}$",,,,,,,,,,7.096397915154081e-15,,,,,,,,,,,
"$S_{x,y,z}HF_{x,y}$",,,,,,,,,,,140916562452697.16,2.3614223014278886e-76,,,,,,,,,
"$S_{x,y,z}HF_{x,y,z}$",,,,1.7378486515873453e+126,,,,,3.601407853765394e+51,4.2347359868471085e+75,,,3.272585884888655e+32,,,,,2.6267654047996484e+44,,,
"$S_{x,y,z}HF_{x,y,z}T_{xy}$",,,,2.0211804260632704e+58,,,,,8.842655800908739e+20,,,3.0556875668796196e-33,,1522.9282579703895,792870566842844.2,,39742142.30774581,9.561776683320867,,,
"$S_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,1.2612399070152532e-15,1.3330851199939304e-21,,,,,,,
"$S_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,0.0006566297491470166,,7.501396459999139e+20,,,,,,
